Owners,AppID,Name,Type,Changed,Kinguin,Achievements
15.41%,250660,Bunny Must Die! Chelsea and the 7 Devils,Purchase disabled,08/2019,1.97,32
15.36%,6100,Eets,Delisted,,5.97,?
15.34%,347030,The Bluecoats: North vs South,Purchase disabled,07/2020,10.95,0
15.34%,536930,MOBIUS FINAL FANTASY,F2P (unavailable),06/2020,,35
15.32%,300040,Divine Souls,F2P (unavailable),06/2021,,0
15.17%,46420,Chrome,Delisted,,,?
15.17%,737230,Rising Storm 2: Vietnam CTB Beta,Test app,05/2021,,?
15.15%,402430,Out of the Park Baseball 17,Purchase disabled,07/2022,,63
15.15%,466830,Remnants of a Beautiful Day,Purchase disabled,03/2020,0.84,12
15.13%,544190,Book Series - Alice in Wonderland,Purchase disabled,05/2022,,8
15.13%,37100,Aztaka,Purchase disabled,05/2021,3.61,0
15.11%,349700,Aftermath,F2P (unavailable),10/2021,,0
15.05%,46460,Scratches: Director's Cut,Purchase disabled,07/2018,,0
15.03%,337180,Velocity 2X,Purchase disabled,09/2021,1.45,50
15.02%,24870,Need for Speed: SHIFT,Purchase disabled,06/2021,8.55,0
15.01%,209120,Street Fighter X Tekken,Purchase disabled,11/2021,,?
15.00%,330000,Kingdoms CCG,F2P (unavailable),05/2019,,36
15.00%,657730,Wolflord - Werewolf Online,Purchase disabled,03/2023,,321
14.99%,390670,Steel Ocean,F2P (unavailable),09/2022,,20
14.84%,437220,The Culling,F2P (unavailable),03/2019,,20
14.84%,385760,NBA 2K17,Purchase disabled,09/2021,29.96,49
14.84%,419500,Red Game Without A Great Name,Purchase disabled,07/2020,3.52,19
14.82%,9870,Ghostbusters: The Video Game,Delisted,02/2017,,?
14.79%,269810,Spate,Purchase disabled,05/2023,0.59,0
14.79%,825190,MisBits,F2P (unavailable),08/2020,,28
14.77%,1067800,Spider-Man: Far From Home Virtual Reality,F2P (unavailable),08/2022,,?
14.74%,253470,Real World Racing,Delisted,06/2016,17.67,?
14.74%,346370,Into The War,Purchase disabled,,,1
14.73%,253190,Kingdom Wars 2: Battles,Purchase disabled,07/2019,5.34,57
14.72%,299030,Blood: One Unit Whole Blood,Purchase disabled,09/2019,3.28,0
14.69%,1652950,Zombies Beyond Me,F2P (unavailable),04/2022,,?
14.66%,454080,Burst,Purchase disabled,10/2019,,0
14.65%,99810,Bulletstorm,Delisted,03/2017,8.81,?
14.64%,391630,Necromonads,Purchase disabled,08/2019,2.78,5
14.64%,520530,INTERSHELTER,F2P (unavailable),10/2020,,12
14.63%,423840,BanHammer,Delisted,01/2017,1.2,?
14.60%,412400,GASP,F2P (unavailable),09/2023,,10
14.59%,436300,Impulse!,Delisted,07/2017,2.39,6
14.54%,259490,Beast Boxing Turbo,Purchase disabled,03/2019,6.19,19
14.53%,46430,Chrome: Specforce,Delisted,,23.78,?
14.51%,405370,Sky Break,Purchase disabled,04/2022,,0
14.49%,330570,Noct,Purchase disabled,03/2021,2.39,0
14.47%,286940,S.K.I.L.L. - Special Force 2,F2P (unavailable),08/2019,,0
14.43%,203250,Star Trek,Delisted,,25.22,?
14.41%,651150,Quantum League,Purchase disabled,09/2023,,0
14.41%,316390,Anomaly Zone,F2P (unavailable),09/2019,,0
14.41%,572300,Nyheim,F2P (unavailable),01/2022,,12
14.38%,416350,MiniBikers,Purchase disabled,09/2019,1.13,38
14.38%,816020,JUMP FORCE,Purchase disabled,02/2022,,50
14.37%,550040,Steep Open Beta,Test app,11/2016,,?
14.37%,2347110,Quasimorph: End of Dream,F2P (unavailable),09/2023,,?
14.35%,338180,Batla,F2P (unavailable),02/2022,,61
14.34%,359290,Crazy Cars - Hit the Road,Delisted,09/2016,1.14,?
14.25%,564750,Dimension Jump,F2P (unavailable),07/2021,,28
14.23%,706400,Death's Maze,Delisted,05/2018,15.65,6
14.20%,322920,theHunter: Primal,Purchase disabled,01/2019,12.62,70
14.18%,12840,DiRT 2,Delisted,,347.1,?
14.18%,307600,Chainsaw Warrior: Lords of the Night,Delisted,06/2021,1.78,35
14.15%,209270,Hero Academy,Purchase disabled,01/2019,1.94,69
14.15%,226580,F1 2014,Purchase disabled,03/2022,,49
14.12%,297100,Beyond Space,Purchase disabled,01/2022,,29
14.09%,1371480,Iron Conflict,F2P (unavailable),06/2023,,?
14.07%,280440,MAV,Delisted,08/2016,,?
14.07%,874240,MU Legend,F2P (unavailable),07/2023,,0
14.07%,1089350,NBA 2K20,Purchase disabled,12/2021,,50
14.06%,18110,Shattered Horizon,Purchase disabled,09/2019,28.39,0
14.05%,399000,Porradaria Upgrade,Purchase disabled,05/2019,4.74,12
14.04%,510330,Shotgun Raiders,Purchase disabled,02/2021,2.39,0
14.04%,700030,Life is Feudal: MMO,F2P (unavailable),02/2021,,0
14.03%,211880,Bullet Run,F2P (unavailable),06/2021,,?
14.01%,410290,Acorn Assault: Rodent Revolution,Purchase disabled,09/2022,,0
13.99%,221340,Infected: The Twin Vaccine - Collector's Edition,Delisted,,8.84,?
13.91%,418280,Retaliation,F2P (unavailable),11/2023,,0
13.91%,568440,Not Dying Today,Purchase disabled,12/2022,,20
13.86%,1596380,Norega,F2P (unavailable),10/2023,,10
13.86%,341860,SickBrick,Purchase disabled,07/2020,0.8,0
13.83%,729330,The Girl on the Train,Purchase disabled,04/2022,,2
13.81%,265670,Imagine Me,Purchase disabled,09/2023,,12
13.81%,340540,TDP4:Team Battle,F2P (unavailable),11/2022,,0
13.77%,383520,Lilly and Sasha: Guardian Angels,Purchase disabled,05/2023,,0
13.77%,854740,President Pig,F2P (unavailable),11/2023,,0
13.76%,12800,FUEL,Delisted,,358.99,?
13.75%,578600,A Step Into Darkness,F2P (unavailable),07/2018,,8
13.74%,346610,Racecraft,F2P (unavailable),07/2022,,0
13.74%,353130,Time of Dragons,F2P (unavailable),02/2022,,120
13.74%,585630,Switchblade,F2P (unavailable),06/2021,,32
13.73%,547470,Apokalypsis,Purchase disabled,08/2023,,0
13.66%,230310,Akaneiro: Demon Hunters,F2P (unavailable),06/2022,,41
13.66%,331660,Prehistorik,Delisted,09/2016,2.4,?
13.64%,782460,Tank Slam,F2P (unavailable),10/2023,,4
13.54%,216390,Fallen Enchantress,Delisted,12/2019,1.49,0
13.53%,44200,Galcon Fusion,Delisted,05/2018,1.4,136
13.53%,47920,Shift 2 Unleashed,Purchase disabled,06/2021,6.58,0
13.53%,626010,Office Space: Idle Profits,F2P (unavailable),08/2022,,10
13.51%,485120,Frog Climbers,Purchase disabled,10/2023,,0
13.50%,1134150,X Wars Deluxe,Purchase disabled,08/2022,,19
13.48%,207150,Stellar Impact,Purchase disabled,09/2022,,0
13.48%,871120,MilkChoco,F2P (unavailable),05/2023,,11
13.45%,224540,Ace of Spades,Purchase disabled,04/2018,5.47,77
13.44%,645480,Spider-Man: Homecoming - Virtual Reality Experience,F2P (unavailable),08/2022,,0
13.44%,774711,The MagiCats Best Of,Purchase disabled,05/2019,3.09,73
13.43%,24470,King Arthur: Collection,Delisted,06/2021,2.88,?
13.42%,712840,King Exit,Purchase disabled,02/2022,,0
13.41%,209100,Resident Evil: Operation Raccoon City,Purchase disabled,11/2021,,0
13.39%,390910,Collisions,Delisted,08/2022,,24
13.39%,798730,rOt,Purchase disabled,05/2020,,3
13.38%,432260,Tiltagon,Purchase disabled,08/2023,,48
13.37%,290710,Cloud Chamber,Delisted,05/2017,,26
13.37%,333860,Project Night,Delisted,,4.3,?
13.36%,315440,TRON: Evolution,Delisted,04/2019,4.75,0
13.35%,212580,The Amazing Spider-Man,Delisted,01/2017,432.39,?
13.34%,369400,Let the Cat In,F2P (unavailable),12/2020,,21
13.31%,877840,Pixel Hentai Mosaic,Purchase disabled,01/2022,,100
13.28%,468000,Impact Winter,Purchase disabled,12/2020,2.4,24
13.26%,263080,Pixel Boy and the Ever Expanding Dungeon,Purchase disabled,10/2020,2.28,24
13.25%,248410,Legends of Aethereus,Purchase disabled,04/2017,8.01,23
13.23%,336790,KWAAN,Delisted,12/2017,0.77,?
13.20%,1687760,Exos Heroes,F2P (unavailable),04/2023,,?
13.20%,1704760,Smalles,F2P (unavailable),10/2023,,5
13.17%,349580,Burstfire,Purchase disabled,12/2015,,0
13.16%,1284240,Black Book: Prologue,F2P (unavailable),08/2022,,0
13.15%,350020,The Gate,F2P (unavailable),06/2022,,54
13.12%,354640,The Settlers Online,F2P (unavailable),12/2020,,0
13.10%,1359300,Knights and Dungeons,F2P (unavailable),10/2023,,11
13.09%,921060,Modern Combat 5,F2P (unavailable),10/2023,,54
13.08%,489460,The Last Leviathan,Purchase disabled,01/2023,,24
13.05%,340120,Crazy Chicken,Purchase disabled,02/2022,,0
13.05%,1259970,eFootball PES 2021 SEASON UPDATE,F2P (unavailable),12/2021,,?
13.01%,1867430,Cygnus Racing League,F2P (unavailable),07/2023,,?
13.00%,266550,Spark Rising,Delisted,12/2016,1.62,?
12.99%,773170,Close the Window!,Purchase disabled,08/2022,,49
12.98%,712050,Otaku's Fantasy,Purchase disabled,02/2022,,0
12.97%,446270,UnnyWorld,F2P (unavailable),06/2018,,19
12.95%,402570,Atlas Reactor,F2P (unavailable),06/2019,,121
12.94%,280910,T.E.C. 3001,Purchase disabled,01/2019,3.06,24
12.92%,38830,CrimeCraft GangWars,F2P (unavailable),08/2017,,46
12.92%,987800,CandyVenture,F2P (unavailable),11/2023,,?
12.92%,1037480,Classic Racers,F2P (unavailable),06/2023,,?
12.91%,200050,Naval War: Arctic Circle,Delisted,08/2018,4.97,51
12.91%,611360,Video Horror Society,Purchase disabled,09/2023,,?
12.89%,521340,True or False,F2P (unavailable),11/2018,,12
12.89%,1547990,Vivian's Kurse,F2P (unavailable),02/2023,,?
12.88%,336520,Might & Magic Heroes Online,F2P (unavailable),06/2021,,0
12.88%,705220,Tactical Monsters Rumble Arena,F2P (unavailable),10/2023,,0
12.86%,365190,TASTEE: Lethal Tactics,Purchase disabled,01/2022,,41
12.85%,1163480,Welcome To... Chichester OVN 2 : Master Tormenter Grendel Jinx !?,F2P (unavailable),05/2023,,24
12.83%,343750,Firefly Online Cortex,F2P (unavailable),06/2022,,0
12.83%,646380,Uphill Skiing,F2P (unavailable),01/2022,,7
12.83%,1265730,Welcome To Chichester OVN 3 : The Mysterious Affair At The Violet Hotel,F2P (unavailable),05/2023,,47
12.81%,242800,Day One: Garry's Incident,Delisted,03/2018,4.74,0
12.81%,1558330,Mall of Mayhem,F2P (unavailable),06/2023,,?
12.80%,723780,Modern Combat Versus,F2P (unavailable),10/2023,,21
12.80%,790160,Five Keys to Exit,Purchase disabled,08/2022,,60
12.76%,1212330,Skin Stealers,F2P (unavailable),03/2023,,?
12.76%,1214320,Frog X Log,F2P (unavailable),03/2023,,?
12.69%,336250,Monster Jam,Purchase disabled,01/2019,46.53,30
12.68%,432180,Discouraged Workers TEEN,Purchase disabled,11/2023,,14
12.68%,531800,Mirage: Arcane Warfare BETA,Test app,05/2018,,?
12.68%,1853380,FOONDA,F2P (unavailable),06/2023,,?
12.66%,1149560,DEATHVERSE: LET IT DIE,F2P (unavailable),07/2023,,?
12.65%,878940,Collective Card Game,F2P (unavailable),07/2023,,7
12.64%,685950,Joy Pony,Purchase disabled,10/2020,,133
12.60%,439350,Kritika:REBOOT,F2P (unavailable),02/2022,,0
12.59%,348530,Incognito,Purchase disabled,07/2020,2.97,21
12.58%,297090,World War 1 Centennial Edition,Delisted,,3.43,?
12.58%,1721830,Skotos,F2P (unavailable),05/2023,,?
12.55%,362070,Metal Reaper Online,F2P (unavailable),03/2022,,0
12.55%,374670,Ember Strike,F2P (unavailable),05/2019,,15
12.55%,914700,MINImax Tinyverse,F2P (unavailable),03/2021,,?
12.55%,622440,Pandemic: The Board Game,Purchase disabled,01/2022,,39
12.55%,623820,Icesolation,F2P (unavailable),01/2022,,?
12.55%,1209300,loathe the game,F2P (unavailable),03/2023,,?
12.53%,376570,WildStar,F2P (unavailable),11/2018,,142
12.51%,293300,Level 22,Delisted,,29.81,?
12.51%,838900,Cereal Soup,F2P (unavailable),09/2023,,0
12.51%,1248650,Fate Arena (Alpha),F2P (unavailable),09/2023,,?
12.50%,619080,SOS,F2P (unavailable),12/2018,,17
12.50%,737010,Warhammer: Vermintide 2 Closed Test,Test app,09/2022,,?
12.47%,1457150,Leafling Online,F2P (unavailable),05/2023,,?
12.47%,628720,GODS Remastered,Purchase disabled,03/2022,,46
12.46%,711990,Elise the Devil,Purchase disabled,02/2022,,0
12.45%,385730,WWE 2K16,Purchase disabled,08/2019,75.13,55
12.42%,1245570,Circle of Football,F2P (unavailable),09/2021,,?
12.39%,690510,Immortal Soul: Black Survival,F2P (unavailable),12/2022,,0
12.39%,1190340,SUPER PEOPLE 2,Purchase disabled,08/2023,,?
12.37%,2197700,Gatekeeper: Eclipse,F2P (unavailable),07/2023,,?
12.37%,357480,Frozen Free Fall: Snowball Fight,F2P (unavailable),05/2018,,21
12.35%,893520,CreativeDestruction,F2P (unavailable),04/2022,,0
12.34%,90500,Guardians of Graxia,Purchase disabled,11/2018,21.39,14
12.32%,302850,Team Indie,Purchase disabled,01/2019,2.45,104
12.32%,1421230,Syberia The World Before - Prologue,F2P (unavailable),02/2022,,5
12.31%,465650,Out of the Park Baseball 18,Purchase disabled,07/2022,,78
12.30%,105400,Fable III,Delisted,,24.28,?
12.30%,1230430,Crocodine: The Buffet,F2P (unavailable),04/2023,,?
12.27%,38220,Section 8,Delisted,05/2014,,?
12.27%,562800,HOUND,Purchase disabled,11/2021,,0
12.25%,215120,ROSE Online,F2P (unavailable),02/2019,,0
12.23%,686190,Killing Time,Purchase disabled,02/2022,,0
12.22%,454600,Age of Cavemen,F2P (unavailable),11/2022,,45
12.21%,1279580,FortressV2,F2P (unavailable),03/2023,,23
12.20%,1791620,DISGAEA RPG,F2P (unavailable),04/2023,,?
12.19%,856620,V-Katsu,F2P (unavailable),06/2022,,0
12.16%,37030,UFO: Extraterrestrials Gold,Purchase disabled,06/2021,,0
12.14%,229100,Dragon's Prophet,F2P (unavailable),06/2021,,?
12.13%,47000,4 Elements,Purchase disabled,07/2018,,14
12.11%,418310,Chronicles of a Dark Lord: Rhapsody Clash,Purchase disabled,03/2020,,17
12.09%,511670,MRWN,Delisted,11/2018,1.16,24
12.09%,431220,Porradaria 2: Pagode of the Night,Purchase disabled,05/2019,,38
12.08%,387960,Paintball eXtreme,Delisted,05/2018,1.61,?
12.07%,291150,Evolution RTS,F2P (unavailable),06/2020,,0
12.07%,497560,Crimson Sword Saga: The Peloran Wars,F2P (unavailable),09/2019,4.33,0
12.06%,221360,Wizardry Online,F2P (unavailable),06/2021,,?
12.06%,1269870,Meditation ~ Spiritual Journey,F2P (unavailable),05/2020,,33
12.05%,550900,Metin2,F2P (unavailable),05/2022,,0
12.03%,1821520,Break Free - Resurgence,F2P (unavailable),04/2023,,?
12.01%,952440,OVERKILL's The Walking Dead - BETA,Test app,11/2018,,?
12.00%,270410,I Want To Be Human,Purchase disabled,09/2021,9.42,18
11.96%,253130,Rescue: Everyday Heroes,Delisted,04/2017,7.11,?
11.96%,1418100,Swords of Legends Online,F2P (unavailable),06/2023,,?
11.95%,546830,Police: Destruction Street,Delisted,05/2018,1.61,?
11.94%,73060,Defenders of Ardania,Purchase disabled,06/2019,1.54,12
11.93%,9930,Test Drive Unlimited 2,Delisted,04/2018,22.24,57
11.93%,613280,Next Up Hero Beta,Test app,01/2018,,?
11.93%,665180,Dark Elf,Purchase disabled,02/2022,,0
11.91%,511750,Showdown Adventure,Purchase disabled,03/2021,2.94,39
11.89%,376110,Black Island,F2P (unavailable),01/2023,,0
11.89%,1788110,Tower Princess: Knight's Trial,F2P (unavailable),08/2022,,?
11.88%,416260,The Lost Island,Purchase disabled,12/2018,1.38,6
11.80%,1194250,Screaming Chicken: Ultimate Showdown,Purchase disabled,11/2023,,?
11.80%,1200990,love the game,F2P (unavailable),03/2023,,?
11.80%,335330,Brick-Force,F2P (unavailable),10/2018,,0
11.80%,366040,Iggy's Egg Adventure,Purchase disabled,02/2020,14.25,44
11.79%,350510,HassleHeart,Delisted,04/2018,1.27,?
11.76%,1248990,"MÏrdalssandur, Iceland",F2P (unavailable),01/2023,,0
11.75%,2700,RollerCoaster Tycoon 3: Platinum!,Purchase disabled,05/2018,9.4,0
11.74%,381090,Ted by Dawn,Purchase disabled,06/2016,1.22,50
11.73%,360590,"Once Bitten, Twice Dead",Purchase disabled,09/2023,,15
11.73%,838330,Warlords Awakening,F2P (unavailable),06/2019,1.68,0
11.73%,1152840,Gator Parade,F2P (unavailable),03/2023,,?
11.71%,327690,Gigantic,F2P (unavailable),07/2018,,0
11.70%,1605550,Final Pilot,F2P (unavailable),07/2023,,?
11.68%,201040,Galcon Legends,Delisted,05/2018,3.61,18
11.66%,250740,Ragnarok Online - Free to Play - European Version,F2P (unavailable),08/2019,,?
11.66%,370240,NBA 2K16,Purchase disabled,10/2018,79.52,50
11.65%,3370,BookWorm Deluxe,Delisted,,,?
11.65%,95500,Your Doodles Are Bugged!,Delisted,,21.59,?
11.57%,670350,The Free Ones,Purchase disabled,04/2022,,18
11.57%,467060,Dead Army - Radio Frequency,Purchase disabled,08/2020,6.36,7
11.56%,247580,Magicka: Wizards of the Square Tablet,Delisted,10/2018,2.79,31
11.56%,560380,MapleStory 2,F2P (unavailable),05/2020,,0
11.55%,378020,Protocol,Delisted,06/2017,,0
11.55%,458680,Auto Age: Standoff,Purchase disabled,05/2022,,25
11.55%,810580,Novas Las Aventurietas del Robercleiton o Renascimento do TURBO,Purchase disabled,09/2023,,0
11.53%,33420,Call of Juarez: The Cartel,Delisted,03/2018,10.03,50
11.53%,639450,"Don't Tax Me, Bro!",Purchase disabled,08/2020,0.48,12
11.53%,1412510,The Nine Regions,F2P (unavailable),11/2023,,?
11.52%,284290,Farm Machines Championships 2014,Purchase disabled,09/2016,3.24,0
11.50%,358480,DarkBase 01,Delisted,,1.1,?
11.50%,404290,Fire & Forget - The Final Assault,Delisted,09/2016,0.83,?
11.48%,387070,One Final Breath,Purchase disabled,09/2023,,8
11.48%,592890,Insidia,F2P (unavailable),05/2021,,0
11.47%,263840,Out of the Park Baseball 14,Delisted,07/2022,1.48,0
11.47%,391040,F1 2016,Purchase disabled,03/2022,,49
11.44%,21970,R.U.S.E,Delisted,,48.07,?
11.44%,772530,Crayola Scoot,Purchase disabled,12/2022,,34
11.44%,882070,PlatONIR,Purchase disabled,02/2021,,25
11.41%,1484550,Bossa Presents,F2P (unavailable),08/2023,,?
11.40%,274130,Rambo The Video Game,Purchase disabled,01/2017,35.63,34
11.40%,546810,Chernobyl: Terrorist Attack,Delisted,05/2018,2.13,?
11.40%,2182750,Fallen Arena,F2P (unavailable),05/2023,,?
11.39%,1503540,Mission IDLE,F2P (unavailable),10/2023,,7
11.38%,7500,UFO: Afterlight - Old Version,Delisted,,0.37,?
11.38%,1269600,Adventure Field? 3 Definitive Edition,F2P (unavailable),06/2023,,90
11.38%,2430740,Heretic?s Fork: Probation,F2P (unavailable),08/2023,,?
11.37%,739000,Grobda Remix,Purchase disabled,08/2021,,0
11.37%,346400,Chaos Ride,Delisted,,,?
11.37%,385020,AoF Chess Club 2.0,Purchase disabled,07/2018,1.44,0
11.37%,1582500,Purple War,F2P (unavailable),06/2023,,?
11.36%,2570,Vigil: Blood Bitterness,Purchase disabled,,6.42,0
11.34%,7850,Cryostasis,Delisted,,276.78,?
11.34%,384950,Macabre,Purchase disabled,01/2020,,0
11.32%,435600,"My Tower, My Home",F2P (unavailable),11/2022,,41
11.30%,1165290,Gifted,F2P (unavailable),09/2023,,?
11.29%,1700700,There Is No Light 616,F2P (unavailable),02/2022,,?
11.29%,529480,Chopper: Lethal darkness,Purchase disabled,11/2019,,9
11.24%,382900,FINAL FANTASY VI,Purchase disabled,07/2021,321.59,28
11.21%,202070,Choplifter HD,Purchase disabled,02/2019,4.13,12
11.21%,339860,AoF World Online,Purchase disabled,07/2018,,3
11.20%,483260,Rover The Dragonslayer,Delisted,06/2017,,?
11.20%,2133670,Perseus: Titan Slayer - Free Trial,F2P (unavailable),02/2023,,?
11.18%,535850,Micro Machines World Series,Purchase disabled,02/2023,,44
11.15%,524970,Helmet Heroes,F2P (unavailable),09/2022,,8
11.14%,1145100,Singaria - Prologue,F2P (unavailable),03/2023,,?
11.12%,344880,In Exilium,Purchase disabled,01/2020,1.51,5
11.11%,713440,CYCOM: Cybernet Combat,F2P (unavailable),01/2020,,0
11.08%,369230,Kung Fu Panda Showdown of Legendary Legends,Purchase disabled,01/2019,40.27,22
11.05%,609990,BeeFense,Purchase disabled,05/2021,7.18,0
11.03%,23120,Droplitz,Delisted,,34.81,?
11.03%,376310,Otherland,F2P (unavailable),06/2022,,4
11.03%,606140,Survived By,F2P (unavailable),04/2019,,0
11.03%,1044200,Wasteland Survival,F2P (unavailable),06/2023,,?
11.02%,449470,Atulos Online,F2P (unavailable),10/2022,,0
11.00%,796430,SHiRO 011,F2P (unavailable),11/2022,,0
10.98%,42650,Transformers: War for Cybertron,Delisted,12/2017,53.59,0
10.97%,315600,Ford Racing 3,Delisted,01/2018,53.01,?
10.96%,2018990,Mythic Origins,F2P (unavailable),09/2022,,?
10.94%,686180,Cat Girl,Purchase disabled,02/2022,,0
10.93%,394380,BattleStick,F2P (unavailable),04/2022,,0
10.90%,393410,World of Soccer,F2P (unavailable),12/2020,,0
10.90%,510190,Lazarus,F2P (unavailable),12/2018,,0
10.90%,1581940,Sea of Roses,F2P (unavailable),03/2023,,18
10.90%,2359850,Mega City Police: Prelude,F2P (unavailable),07/2023,,?
10.88%,2075730,Call of Duty©: Modern Warfare© II - Open Beta,Test app,09/2022,,?
10.88%,266150,Lost Saga North America,F2P (unavailable),08/2019,,68
10.88%,1609100,Skald: Against the Black Priory - the Prologue,F2P (unavailable),11/2022,,?
10.87%,488460,Zeus Quest Remastered,Purchase disabled,04/2022,,26
10.85%,360950,Descent: Underground,Delisted,10/2017,38.26,6
10.82%,404370,Tracks and Turrets,Delisted,11/2016,1.09,?
10.82%,625230,Kiln Prototype,Retail only,04/2017,,?
10.80%,368980,Force of Elements,F2P (unavailable),02/2022,,20
10.80%,655120,Space Hero Line,Purchase disabled,10/2023,,0
10.80%,674690,Project Xandata,F2P (unavailable),05/2023,,?
10.78%,285230,Mnemonic Prototype,Retail only,03/2014,,?
10.77%,285250,Dear Leader Prototype,Retail only,03/2014,,?
10.77%,285270,Steed Prototype,Retail only,03/2014,,?
10.77%,382890,FINAL FANTASY V,Purchase disabled,07/2021,230.75,96
10.77%,440330,Warhammer: Arcane Magic,Delisted,10/2017,,38
10.76%,393230,The Youthdrainers,Purchase disabled,03/2019,3.71,10
10.75%,1106750,Fault: Elder Orb,F2P (unavailable),11/2022,,0
10.75%,1456290,BoltBreak,F2P (unavailable),05/2023,,?
10.75%,410380,HEX: Shards of Fate,F2P (unavailable),12/2020,,0
10.73%,356370,Soccer Manager 2015,F2P (unavailable),01/2020,,0
10.72%,1805360,Bounty game,F2P (unavailable),01/2023,,?
10.71%,1494950,Space Cats Tactics: Prologue,F2P (unavailable),08/2023,,?
10.68%,534360,Colt Express,Purchase disabled,10/2021,,0
10.68%,1098490,Explore Fushimi Inari,F2P (unavailable),07/2022,,0
